test_name,submodel_count,element_count,nesting_depth,avg_time_ms,memory_used_mb,iterations
memory_under_load,1,2000,1,0.00,163.03,100
paging_operations,1,1000,1,61.20,29.19,5
paging_operations,1,1000,1,25.20,25.21,5
paging_operations,1,1000,1,19.80,45.27,5
paging_operations,1,1000,1,17.80,45.28,5
high_element_count,1,100,1,1.40,24.35,5
high_element_count,1,500,1,6.20,24.98,5
high_element_count,1,1000,1,12.20,49.55,5
high_element_count,1,2000,1,25.20,114.43,5
high_element_count,1,5000,1,56.00,56.99,5
high_submodel_count,10,500,1,3.60,48.69,5
high_submodel_count,50,2500,1,16.20,114.93,5
high_submodel_count,100,5000,1,31.80,57.14,5
high_submodel_count,200,10000,1,66.80,73.54,5
high_submodel_count,500,25000,1,167.20,166.97,5
deeply_nested_aas,1,120,3,2.00,20.45,5
deeply_nested_aas,1,1092,5,10.40,33.78,5
deeply_nested_aas,1,9840,7,63.60,151.06,5
deeply_nested_aas,1,29523,8,195.40,320.65,5
deeply_nested_aas,1,88572,9,626.80,457.81,5
full_workload,50,5000,5,630.00,388.20,5
element_insertion,1,100,1,0.40,12.41,5
element_insertion,1,500,1,0.20,12.71,5
element_insertion,1,1000,1,0.40,13.06,5
element_insertion,1,2000,1,0.60,13.78,5
element_insertion,1,5000,1,1.80,15.39,5
single_element_access,1,100,1,0.20,12.44,5
single_element_access,1,1000,1,0.20,13.09,5
single_element_access,1,5000,1,0.80,15.40,5
