test_name,submodel_count,element_count,nesting_depth,avg_time_ms,memory_used_mb,iterations
memory_under_load,1,2000,1,0.00,180.22,100
paging_operations,1,1000,1,5490.60,41.98,5
paging_operations,1,1000,1,342.80,77.49,5
paging_operations,1,1000,1,269.40,69.51,5
paging_operations,1,1000,1,228.60,33.60,5
high_element_count,1,100,1,24.60,56.99,5
high_element_count,1,500,1,105.80,21.49,5
high_element_count,1,1000,1,201.40,178.02,5
high_element_count,1,2000,1,397.60,63.36,5
high_element_count,1,5000,1,951.60,66.88,5
high_submodel_count,10,500,1,8.40,48.97,5
high_submodel_count,50,2500,1,41.20,91.07,5
high_submodel_count,100,5000,1,70.60,177.33,5
high_submodel_count,200,10000,1,132.00,173.68,5
high_submodel_count,500,25000,1,300.00,170.18,5
deeply_nested_aas,1,120,3,5.20,20.67,5
deeply_nested_aas,1,1092,5,16.00,61.78,5
deeply_nested_aas,1,9840,7,87.80,31.20,5
deeply_nested_aas,1,29523,8,234.40,177.84,5
deeply_nested_aas,1,88572,9,762.20,496.48,5
full_workload,50,5000,5,1280.80,89.74,5
element_insertion,1,100,1,0.00,12.93,5
element_insertion,1,500,1,0.00,13.23,5
element_insertion,1,1000,1,0.20,13.58,5
element_insertion,1,2000,1,0.40,14.28,5
element_insertion,1,5000,1,1.80,15.94,5
single_element_access,1,100,1,3.40,12.97,5
single_element_access,1,1000,1,3.80,13.59,5
single_element_access,1,5000,1,4.00,15.95,5
