test_name,submodel_count,element_count,nesting_depth,avg_time_ms,memory_used_mb,iterations
memory_under_load,1,2000,1,0.00,174.90,100
paging_operations,1,1000,1,100.20,53.07,5
paging_operations,1,1000,1,30.60,21.07,5
paging_operations,1,1000,1,22.80,29.08,5
paging_operations,1,1000,1,18.80,21.13,5
high_element_count,1,100,1,5.20,24.24,5
high_element_count,1,500,1,10.00,24.95,5
high_element_count,1,1000,1,17.40,25.43,5
high_element_count,1,2000,1,32.20,46.29,5
high_element_count,1,5000,1,79.60,152.85,5
high_submodel_count,10,500,1,7.20,44.58,5
high_submodel_count,50,2500,1,23.60,114.71,5
high_submodel_count,100,5000,1,40.40,52.91,5
high_submodel_count,200,10000,1,72.60,65.23,5
high_submodel_count,500,25000,1,189.80,266.59,5
deeply_nested_aas,1,120,3,4.80,20.31,5
deeply_nested_aas,1,1092,5,16.20,33.39,5
deeply_nested_aas,1,9840,7,90.20,30.30,5
deeply_nested_aas,1,29523,8,249.20,167.16,5
deeply_nested_aas,1,88572,9,933.40,378.42,5
full_workload,50,5000,5,670.60,348.19,5
element_insertion,1,100,1,0.00,12.29,5
element_insertion,1,500,1,0.40,12.56,5
element_insertion,1,1000,1,0.20,12.85,5
element_insertion,1,2000,1,0.40,13.58,5
element_insertion,1,5000,1,1.20,15.24,5
single_element_access,1,100,1,3.40,12.30,5
single_element_access,1,1000,1,3.60,12.90,5
single_element_access,1,5000,1,3.40,15.26,5
